text,label
assault on federal officer felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on federal officer misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on federal officer or employee,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on federal officer with deadly weapon and causing bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on federal official inflicting bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on person,assault and/or battery
assault on person causing gbi,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on person causing gbi felony amended to assault of person by means of force likely to produce gbi misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault on person with force great bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault other,assault and/or battery
assault peace officer emergency personnel etc,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault resulting in serious bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault to commit felony,assault and/or battery
assault to commit oral copulation,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault weapon likely to produce gbi,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault weapon not firearm on peace officer firefighter,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with caustic chemical,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with dangerous weapon,assault and/or battery
assault with dangerous weapon in aid of racketeering of victim,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with dangerous weapon with intent to do bodily harm,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon by prisoner,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon felony amended to assault misdemeanor,assault and/or battery
assault with deadly weapon felony amended to assault with deadly weapon felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon felony amended to assault with deadly weapon misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon felony amended to false imprisonment misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
assault with deadly weapon felony amended to simple battery misdemeanor,assault and/or battery
assault with deadly weapon felony amended to vandalism misdemeanor,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
assault with deadly weapon likely to cause great bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon misdemeanor amended to assault with deadly weapon felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon misdemeanor amended to domestic battery misdemeanor,domestic violence; spouse abuse; assault on a female
assault with deadly weapon not firearm or force gbi likely,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon or force likely to produce great bodily injury,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon other than firearm,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with deadly weapon while on government reservation,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with firearm,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with firearm felony amended to assault with firearm misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with firearm felony amended to unknown felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with firearm felony amended to unknown misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with firearm on person,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with force likely to produce gbi,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with gun,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with intent to commit mayhem rape sodomy oral copulation,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with intent to commit murder,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with intent to murder maritime,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with semi automatic firearm,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with semi automatic firearm on person,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with semiautomatic firearm on person,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assault with stun gun taser,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assaulting federal officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assaulting federal officer with deadly weapon,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assaulting police officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assaulting resisting impeding officers employees,assault and/or battery
assaulting resisting or impeding certain officers or employees,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assaulting united states postal service letter carrier,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assembling maintaining and placing boobytrap on federal property where marijuana is being manufactured,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
assimilated crimes act california penal code section and carrying concealed weapon in vehical misdemeanor,possession of firearm
assimilated crimes act misdemeanors,possession of firearm
assimilated crimes california penal code checks drafts or orders on banks insufficient funds intent to defraud misdemeanor,theft by check; check deception; deposit account fraud; bad check; worthless check
assimilating and,car theft; possess stolen vehicle
assimilating ca vehicle code,car theft; possess stolen vehicle
assimilating cal pen code burglary tools,possession of an instrument of crime; possession of a burglary tool
assimilating cal pen code receiving stolen property,receive stolen property; possession of stolen property; theft by receiving
assimilating cal penal code,obstruct and hinder
assimilating california vehicle code reckless driving class misdemeanor,reckless driving; careless driving; negligent driving; racing
assimilating california vehicle code section theft unlawful driving of vehicle,car theft; possess stolen vehicle
assimilating california vehicle code sections and reckless driving,reckless driving; careless driving; negligent driving; racing
assimilating code of federal regulations section public demonstration within park areas without permit class misdemeanor,disorderly conduct
assimilating contempt of court,contempt of court; fail to obey a court order
assimilating driving commercial vehicle with blood alcohol content of percent of more,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving under the influence of alcohol or drugs class misdemeanor,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving under the influence of any alcoholic beverage,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving when privilege or revoked for other reasons,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege or revoked for other reasons class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege restricted for prior dui class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended or revoked class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended or revoked for driving under the influence or with excessive blood alcohol class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended or revoked for driving with excessive blood alcohol class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended or revoked for other reasons class misdemeanor,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving when privilege suspended or revoked for prior dui,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving while blood alcohol content is or higher,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving while impaired,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving while license suspended for driving under the influence,driving while drivers license is suspended; driving while drivers license is revoked
assimilating driving with bac of or greater,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating driving with bac or greater,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating dui with prior,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating duty to stop at scene of injury accident,leave the scene of an accident; fail to report accident
assimilating speeding greater than mph,speeding; improper driving
assimilating speeding greater than mph class misdemeanor,speeding; improper driving
assimilating unlawful vehicle operation class misdemeanor,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
assimilating unlicensed driver class misdemeanor,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
assimilating unregistered vehicle class misdemeanor,no registration; expired registration; no tags; expired tags/plates
asslt on child injury death,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assualt by means of force likely to produce gbi,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
assualt on any officer in the performance of their duties,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
att poss marijuana hashish for sale,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
att theft by forged invalid access card over,forgery; possession of forged documents; conspiracy to forge
att unlawful use of identifying information,identity theft
attempt and conspiracy to commit mail fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt and conspiracy to commit wire and securities fraud wire fraud securities fraud statements or entries generally,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt and conspiracy to distribute and possess methamphetamine controlled substance and controlled substance base,criminal mischief; criminal conspiracy
attempt assault deadly weapon,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
attempt battery,assault and/or battery
attempt burglary,burglary; attempted burglary
attempt criminal threats,threats to injure; terroristic threats; intimidation
attempt criminal threats with intent to terrorize,threats to injure; terroristic threats; intimidation
attempt driving under the influence of alcohol drugs,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
attempt food stamp fraud or less,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt forgery of prescripton,forgery; possession of forged documents; conspiracy to forge
attempt grand theft auto,car theft; possess stolen vehicle
attempt grand theft exceed,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempt grand theft exceed felony amended to attempt grand theft under misdemeanor,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempt grand theft property,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempt kidnapping,kidnapping; unlawfully transport a person; false imprisonment
attempt murder,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempt petty theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempt possess control sub,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
attempt possession of controlled substance,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
attempt sodomy,rape; sexual abuse; sexual assault; incest
attempt sodomy in concert,rape; sexual abuse; sexual assault; incest
attempt to bring in aliens for financial gain aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
attempt to commit grand theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempt to distribute and to possess with intent to distribute fentanyl,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
attempt to distribute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
attempt to drive while having percent or more alcohol,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
attempt to drive while under the influence of alcohol,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
attempt to enter etc noncommercial dwelling,breaking and entering; store breaking; house breaking; unlawful entry; residential entry; illegal entry; enter closed area; unauthorized entry (or attempts)
attempt to enter secure area of seaport by fraud and false pretense,breaking and entering; store breaking; house breaking; unlawful entry; residential entry; illegal entry; enter closed area; unauthorized entry (or attempts)
attempt to manufacture methamphetamine,criminal mischief; criminal conspiracy
attempt to manufacture methamphetamine aiding and abetting,criminal mischief; criminal conspiracy
attempt to operate vehicle owner consent,car theft; possess stolen vehicle
attempt to pass false evidences of registration with intent to defraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt to possess controlled substance,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
attempt to possess firearm in federal facility misdemeanor,possession of firearm
attempt to possess of controlled substance,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
attempt to prevent dissuade witness victim,obstruct and hinder court proceedings
attempt to produce false document identification documents,forgery; possession of forged documents; conspiracy to forge
attempt to produce false identification document,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt to receive etc stolen property,receive stolen property; possession of stolen property; theft by receiving
attempt to sell furnish alcohol to minor,minor possessing alcohol; sell/give alcohol to a minor
attempt to smuggle goods from the united states,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempt to transport aliens for financial gain,kidnapping; unlawfully transport a person; false imprisonment
attempt unlawfully receive stolen property,receive stolen property; possession of stolen property; theft by receiving
attempt voluntary manslaughter,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempted aggravated trespass,trespassing; remain in area closed to public
attempted armed bank robbery,robbery with or without a weapon
attempted auto theft,car theft; possess stolen vehicle
attempted bank robbery,robbery with or without a weapon
attempted battery by prisoner,assault and/or battery
attempted battery on peace officer etc,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
attempted bringing in illegal aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
attempted bulk cash smuggling criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempted burglary,burglary; attempted burglary
attempted burglary degree,burglary; attempted burglary
attempted burglary first degree,burglary; attempted burglary
attempted burglary of vehicle,burglary; attempted burglary
attempted burglary second degree,burglary; attempted burglary
attempted burglary second degree commercial structure,burglary; attempted burglary
attempted corporal inj on spouse cohabitant,domestic violence; spouse abuse; assault on a female
attempted criminal threats with intent to terrorize,threats to injure; terroristic threats; intimidation
attempted destroy evidence,obstruct and hinder court proceedings
attempted entry by false pretenses,trespassing; remain in area closed to public
attempted exportation of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
attempted extortion by an employee of the united states,theft by deception (or attempt)
attempted felon addict etc possess firearm,possession of firearm
attempted forgery,forgery; possession of forged documents; conspiracy to forge
attempted grand theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempted grand theft auto,car theft; possess stolen vehicle
attempted grand theft of personal property,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempted grand theft of property,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempted hobbs act robbery aiding and abetting criminal forfeiture,robbery with or without a weapon
attempted illegal entry,kidnapping; unlawfully transport a person; false imprisonment
attempted illegal entry misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
attempted kidnapping,kidnapping; unlawfully transport a person; false imprisonment
attempted murder,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempted murder degree,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempted murder eff,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempted murder felony amended to assault with deadly weapon felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
attempted murder of victim in aid of racketeering,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
attempted passing and uttering counterfeit obligations of the united states,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
attempted petty theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempted petty theft from retail merchant,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attempted pimping,prostitution; sex solicitation
attempted possession of false identification document,identity theft
attempted possession of listed chemical knowing or having reasonable cause to believe it will be used to manufacture controlls substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
attempted possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
attempted production of child pornography,sex offense with a child
attempted rape in concert,rape; sexual abuse; sexual assault; incest
attempted receiving stolen property,receive stolen property; possession of stolen property; theft by receiving
attempted robbery,robbery with or without a weapon
attempted robbery first degree auto teller,robbery with or without a weapon
attempted robbery second degree,robbery with or without a weapon
attempted sexual battery,rape; sexual abuse; sexual assault; incest
attempted theft of personal property,theft by deception (or attempt)
attempted transportation of certain aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
attempted transportation of certain aliens for financial gain and aiding and abetting felony,kidnapping; unlawfully transport a person; false imprisonment
attempted transportation of illegal aliens,kidnapping; unlawfully transport a person; false imprisonment
attempted transportation of illegal aliens and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
attempted unauthorized entry of dwelling,trespassing; remain in area closed to public
attempted unauthorized entry of property,trespassing; remain in area closed to public
attempted vehicle theft,car theft; possess stolen vehicle
attempting to corruptly influence witness,obstruct and hinder court proceedings
attempting to provide contraband to an inmate,possession of an instrument of crime; possession of a burglary tool
attmptd grand theft of persnl property,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attp child under,sex offense with a child
attp petty theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
attp unlawful sex intercourse,lewd behavior; sex offense; offensive touching
atttempting to corruptly influence witness,obstruct and hinder court proceedings
bac or greater,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
bac while on dui probation,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
bac with injury,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
bail jumping felony,bail act violation
bandit cab,theft by deception (or attempt)
bank embezzlement,embezzlement
bank embezzlement class misdemeanor,embezzlement
bank fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud aiding and abetting and causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud and attempted bank fraid,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud and attempted bank fraud,theft by check; check deception; deposit account fraud; bad check; worthless check
bank fraud and attempted bank fraud aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud and attempted bank fraud aiding and abetting causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank fraud conspiracy,theft by check; check deception; deposit account fraud; bad check; worthless check
bank fraud false statement,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bank larceny,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
bank larceny aiding and abetting,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
bank larceny criminal forfeiture,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
bank robbery,robbery with or without a weapon
bank robbery aiding and abetting,robbery with or without a weapon
bank robbery aiding and abetting and causing an act to be done,robbery with or without a weapon
bank robbery and aiding and abetting,robbery with or without a weapon
bank robbery and attempted bank robbery,robbery with or without a weapon
bank robbery assault with deadly weapon,robbery with or without a weapon
bank robbery by force or violence,robbery with or without a weapon
bank robbery class felony,robbery with or without a weapon
bank robbery criminal forfeiture,robbery with or without a weapon
bank robbery felony,robbery with or without a weapon
bank robbery use of dangerous weapon,robbery with or without a weapon
bankruptcy fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bankruptcy fraud causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
basic speed law,speed in excess of posted maximum
batery serious bodily inj,assault and/or battery
batt po emerg prsnl etc,assault and/or battery
batt serious bodily inj,assault and/or battery
battery,assault and/or battery
battery against cohabitant,assault and/or battery
battery against peace officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery against spouse or cohabiting person,domestic violence; spouse abuse; assault on a female
battery as assimilated by the assimilated crimes act,assault and/or battery
battery by prisoner eff,assault and/or battery
battery causing serious bodily injury,assault and/or battery
battery causing serious bodily injury felony amended to assault with deadly weapon felony,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery causing serious bodily injury felony amended to assault with deadly weapon misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery causing serious bodily injury felony amended to battery causing serious bodily injury misdemeanor,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery causing serious bodily injury felony amended to domestic violence or corporal injury to spouse felony,domestic violence; spouse abuse; assault on a female
battery committed on school park hospital property,assault and/or battery
battery excohabitant,domestic violence; spouse abuse; assault on a female
battery former spouse use,domestic violence; spouse abuse; assault on a female
battery gang related,assault and/or battery
battery gang related public offense,assault and/or battery
battery is any willful and unlawful use of force or violence upon the person of another,assault and/or battery
battery on peace officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery on peace officer emergency personnel etc,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery on peace officer etc,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery on peace police officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery on person,assault and/or battery
battery on po emt,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery on spouse as assimilated by the assimilated crimes act,domestic violence; spouse abuse; assault on a female
battery on spouse cohabitating noncohab former spouse etc,domestic violence; spouse abuse; assault on a female
battery on spouse person whom is cohabitating with,domestic violence; spouse abuse; assault on a female
battery punishment,assault and/or battery
battery serious bodily inj,assault and/or battery
battery serious bodily injury,assault and/or battery
battery spouse ex spouse date etc,domestic violence; spouse abuse; assault on a female
battery unlawful use of force on peace officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery upon peace officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery with injury on peace officer,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
battery with serious bodily injury,assault and/or battery
be present in park area when under the influence of alcohol to degree that may endanger oneself or another person or damage property or park resources,drunk in public; public intoxication
beach curfew,trespassing; remain in area closed to public
bein park betw while not participating in city spons,trespassing; remain in area closed to public
being armed with firearm,possession of firearm
being prohibited person to wit an illegal alien in possession of firearms,possession of firearm
bench warrant,fugitive
benefits fraud criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
benefits fraud of or more aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bid rigging,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
blank check etc defraud,theft by check; check deception; deposit account fraud; bad check; worthless check
blank unfinished check note bank bill money order traveler check intent to defraud,theft by check; check deception; deposit account fraud; bad check; worthless check
blocking railroad crossing,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk; failed to signal turn
blocking railroad crossing due to low undercarriage,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk; failed to signal turn
blocking railroad or rail transit crossing gridlock prohibited,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk; failed to signal turn
blood alcohol concentration percent or more by weight,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
blood alcohol in excess of,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
brandishing fake firearm,weapon crime
brandishing firearm during and in relation to crimes of violence,possession of firearm
brandishing firearm during crime of violence,possession of firearm
brandishing firearm replica,weapon crime
brandishing firearms,possession of firearm
brandishing weapon,weapon crime
bribery,theft by deception (or attempt)
bribery concerning programs receiving federal funds,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bribery concerning programs receiving federal funds aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
bribery criminal forfeiture,theft by deception (or attempt)
bribery of public official,theft by deception (or attempt)
bribery of public official and criminal forfeiture,theft by deception (or attempt)
bring alcohol drugs etc into prison jail etc,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
bring alcohol drugs into prison jail etc,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
bring controlled substance etc into prison jail etc,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
bring controlled substance etcinto prison jail etc,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
bring or send controlled substance into jail prison,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
bring possess firearm on school college grounds,possession of firearm
bring weapon in prison jail,weapon crime
bringing alien to the united states,kidnapping; unlawfully transport a person; false imprisonment
bringing aliens to the united states,kidnapping; unlawfully transport a person; false imprisonment
bringing controlled substance into jail or prison,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
bringing illegal aliens for financial gain aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
bringing illegal aliens into the united states,kidnapping; unlawfully transport a person; false imprisonment
bringing in alien,kidnapping; unlawfully transport a person; false imprisonment
bringing in alien without presentation felony,kidnapping; unlawfully transport a person; false imprisonment
bringing in aliens,kidnapping; unlawfully transport a person; false imprisonment
bringing in aliens aid abet illegal entry,kidnapping; unlawfully transport a person; false imprisonment
bringing in aliens aiding and abetting llegal entry,kidnapping; unlawfully transport a person; false imprisonment
